Date,Customer_ID,Gender,Age,Location,Category,Product,Quantity,Unit_Price,Revenue
2025-01-22,CUST1000,Female,42,Delhi,Furniture,Chair,2,3212.82,6425.64
2025-01-17,CUST1001,Female,36,Mumbai,Furniture,Table,1,5493.55,5493.55
2025-01-28,CUST1002,Female,42,Hyderabad,Furniture,Bed,5,32671.0,163355.0
2025-01-11,CUST1003,Female,28,Delhi,Electronics,Tablet,2,20468.95,40937.9
2025-01-02,CUST1004,Male,29,Hyderabad,Electronics,Gaming Console,5,37174.25,185871.25
2025-01-20,CUST1005,Female,37,Pune,Furniture,Table,3,6592.93,19778.79
2025-01-10,CUST1006,Male,24,Mumbai,Beauty,Sunscreen,6,551.02,3306.12
2025-01-12,CUST1007,Male,44,Bangalore,Beauty,Lipstick,4,728.49,2913.96
2025-01-20,CUST1008,Male,37,Nagpur,Clothing,Dress,6,3133.23,18799.38
2025-01-21,CUST1009,Male,49,Hyderabad,Furniture,Bed,3,40140.0,120420.0
2025-01-26,CUST1010,Female,59,Mumbai,Furniture,Bed,2,38378.93,76757.86
2025-01-11,CUST1011,Male,33,Nagpur,Groceries,Fruits,5,89.03,445.15
2025-01-24,CUST1012,Female,49,Delhi,Clothing,Track Pants,3,1070.27,3210.81
2025-01-05,CUST1013,Female,30,Bangalore,Sports,Treadmill,2,40221.92,80443.84
2025-01-22,CUST1014,Male,21,Delhi,Sports,Football,6,808.2,4849.2
2025-01-18,CUST1015,Female,44,Pune,Groceries,Milk,4,30.26,121.04
2025-01-10,CUST1016,Male,54,Bangalore,Beauty,Face Wash,6,238.01,1428.06
2025-01-04,CUST1017,Male,26,Pune,Sports,Skipping Rope,2,250.58,501.16
2025-01-25,CUST1018,Male,29,Bangalore,Beauty,Moisturizer,2,455.32,910.64
2025-01-27,CUST1019,Female,51,Mumbai,Beauty,Face Wash,1,282.18,282.18
2025-01-16,CUST1020,Male,42,Pune,Furniture,Bed,1,30649.36,30649.36
2025-01-17,CUST1021,Male,56,Hyderabad,Furniture,Sofa,5,22488.45,112442.25
2025-01-10,CUST1022,Male,54,Nagpur,Beauty,Serum,6,819.31,4915.86
2025-01-11,CUST1023,Female,53,Pune,Groceries,Eggs,2,64.22,128.44
2025-01-03,CUST1024,Male,18,Mumbai,Electronics,Smartwatch,6,6941.3,41647.8
2025-01-07,CUST1025,Male,52,Delhi,Beauty,Sunscreen,3,630.42,1891.26
2025-01-22,CUST1026,Male,33,Hyderabad,Sports,Skipping Rope,2,219.57,439.14
2025-01-21,CUST1027,Female,32,Nagpur,Sports,Basketball,1,894.21,894.21
2025-01-05,CUST1028,Female,21,Mumbai,Electronics,Gaming Console,2,40435.43,80870.86
2025-01-28,CUST1029,Female,35,Nagpur,Groceries,Fruits,1,78.64,78.64
2025-01-25,CUST1030,Male,55,Pune,Furniture,Table,1,6844.19,6844.19
2025-01-02,CUST1031,Female,50,Hyderabad,Furniture,Sofa,2,27734.88,55469.76
2025-01-24,CUST1032,Female,36,Hyderabad,Clothing,T-Shirt,3,781.52,2344.56
2025-01-19,CUST1033,Male,32,Bangalore,Beauty,Body Lotion,2,456.25,912.5
2025-01-28,CUST1034,Female,36,Mumbai,Furniture,Chair,5,2979.11,14895.55
2025-01-28,CUST1035,Male,23,Mumbai,Sports,Cricket Bat,5,2175.97,10879.85
2025-01-19,CUST1036,Male,22,Pune,Clothing,Jeans,1,1756.38,1756.38
2025-01-09,CUST1037,Female,24,Nagpur,Sports,Cycling Helmet,6,1133.11,6798.66
2025-01-20,CUST1038,Female,40,Nagpur,Groceries,Fruits,1,68.22,68.22
2025-01-12,CUST1039,Male,54,Delhi,Beauty,Shampoo,5,325.35,1626.75
2025-01-23,CUST1040,Female,38,Delhi,Beauty,Lipstick,4,770.09,3080.36
2025-01-04,CUST1041,Female,26,Nagpur,Groceries,Rice,2,55.76,111.52
2025-01-07,CUST1042,Female,44,Pune,Furniture,Sofa,2,26632.09,53264.18
2025-01-27,CUST1043,Female,43,Mumbai,Furniture,Cupboard,1,18725.14,18725.14
2025-01-15,CUST1044,Female,28,Nagpur,Clothing,T-Shirt,3,718.78,2156.34
2025-01-18,CUST1045,Male,21,Mumbai,Sports,Basketball,6,953.0,5718.0
2025-01-26,CUST1046,Male,31,Mumbai,Electronics,Camera,3,33578.84,100736.52
2025-01-12,CUST1047,Female,33,Nagpur,Beauty,Face Wash,2,262.52,525.04
2025-01-01,CUST1048,Male,42,Delhi,Furniture,TV Unit,2,8915.4,17830.8
2025-01-04,CUST1049,Female,35,Bangalore,Clothing,Dress,2,3258.64,6517.28
2025-01-27,CUST1050,Female,34,Delhi,Groceries,Rice,4,57.29,229.16
2025-01-09,CUST1051,Male,35,Nagpur,Furniture,Bed,2,33933.89,67867.78
2025-01-18,CUST1052,Female,52,Hyderabad,Beauty,Moisturizer,6,514.96,3089.76
2025-01-20,CUST1053,Male,36,Delhi,Groceries,Rice,3,51.69,155.07
2025-01-07,CUST1054,Female,34,Mumbai,Sports,Cycling Helmet,4,1343.82,5375.28
2025-01-24,CUST1055,Male,53,Pune,Clothing,Kurta,6,1598.74,9592.44
2025-01-20,CUST1056,Female,48,Mumbai,Furniture,Bed,6,39418.09,236508.54
2025-01-23,CUST1057,Female,52,Bangalore,Groceries,Milk,4,28.44,113.76
2025-01-06,CUST1058,Male,46,Pune,Groceries,Bread,4,42.13,168.52
2025-01-14,CUST1059,Female,52,Mumbai,Furniture,Cupboard,3,16849.33,50547.99
2025-01-16,CUST1060,Female,49,Hyderabad,Furniture,Bookshelf,6,4570.55,27423.3
2025-01-11,CUST1061,Male,44,Pune,Furniture,Sofa,6,25997.06,155982.36
2025-01-08,CUST1062,Female,25,Hyderabad,Electronics,Smartwatch,2,6858.62,13717.24
2025-01-23,CUST1063,Female,46,Nagpur,Beauty,Shampoo,5,317.92,1589.6
2025-01-28,CUST1064,Male,29,Pune,Groceries,Cooking Oil,1,201.2,201.2
2025-01-02,CUST1065,Female,42,Delhi,Furniture,Table,6,6032.32,36193.92
2025-01-18,CUST1066,Female,22,Hyderabad,Sports,Football,6,908.41,5450.46
2025-01-16,CUST1067,Female,52,Hyderabad,Furniture,Dining Set,2,23608.13,47216.26
2025-01-15,CUST1068,Female,34,Hyderabad,Sports,Yoga Mat,6,645.24,3871.44
2025-01-05,CUST1069,Male,26,Delhi,Electronics,Headphones,5,2622.52,13112.6
2025-01-15,CUST1070,Male,24,Hyderabad,Clothing,Jacket,4,3322.43,13289.72
2025-01-01,CUST1071,Female,44,Nagpur,Groceries,Vegetables,5,56.69,283.45
2025-01-28,CUST1072,Female,35,Bangalore,Furniture,TV Unit,3,8608.34,25825.02
2025-01-01,CUST1073,Male,51,Delhi,Beauty,Serum,3,882.68,2648.04
2025-01-13,CUST1074,Male,49,Nagpur,Groceries,Cooking Oil,5,181.84,909.2
2025-01-06,CUST1075,Male,55,Hyderabad,Furniture,Chair,2,3330.17,6660.34
2025-01-13,CUST1076,Female,24,Bangalore,Electronics,Gaming Console,3,43134.76,129404.28
2025-01-02,CUST1077,Female,25,Hyderabad,Clothing,Kurta,1,1612.06,1612.06
2025-01-08,CUST1078,Male,24,Nagpur,Beauty,Sunscreen,1,645.76,645.76
2025-01-19,CUST1079,Male,35,Delhi,Clothing,T-Shirt,4,840.67,3362.68
2025-01-24,CUST1080,Female,43,Delhi,Beauty,Body Lotion,5,412.87,2064.35
2025-01-19,CUST1081,Female,38,Pune,Furniture,Sofa,1,28216.65,28216.65
2025-01-27,CUST1082,Female,57,Delhi,Furniture,TV Unit,1,8221.03,8221.03
2025-01-19,CUST1083,Female,56,Pune,Furniture,Table,1,6533.21,6533.21
2025-01-11,CUST1084,Female,56,Bangalore,Furniture,Bookshelf,1,5008.94,5008.94
2025-01-27,CUST1085,Female,21,Delhi,Electronics,Gaming Console,3,41627.02,124881.06
2025-01-09,CUST1086,Female,23,Nagpur,Sports,Dumbbells,5,2051.36,10256.8
2025-01-28,CUST1087,Female,48,Nagpur,Furniture,Dining Set,5,20471.41,102357.05
2025-01-22,CUST1088,Female,48,Delhi,Clothing,Jeans,4,1837.72,7350.88
2025-01-09,CUST1089,Female,40,Delhi,Groceries,Rice,2,57.39,114.78
2025-01-14,CUST1090,Male,53,Nagpur,Groceries,Fruits,1,73.79,73.79
2025-01-08,CUST1091,Female,33,Hyderabad,Sports,Yoga Mat,1,614.54,614.54
2025-01-24,CUST1092,Female,43,Pune,Groceries,Vegetables,5,47.66,238.3
2025-01-24,CUST1093,Female,26,Bangalore,Sports,Cycling Helmet,3,1102.99,3308.97
